Please enter your @canada.ca email.,What is your preferred name?,What language would you like to converse in?,When would you like to chat?,Which field are you in?,Do you want to be matched ONLY WITHIN your field?,"What are your interests? Please list your interests separated by a comma with no spaces. I.e. cooking,drawing,etc."
a@a.ca,a,English,Morning,Field 5,Yes,"a,b,c"
a@a.ca,b,French,Morning,Field 5,Yes,"a,b,c"
a@a.ca,c,English,Afternoon,Field 5,Yes,"a,b,c"
a@a.ca,d,French,Afternoon,Field 5,Yes,"a,b,c"
a@a.ca,e,English,Morning,Field 5,No,"a,b,c"
a@a.ca,f,French,Morning,Field 5,No,"a,b,c"
a@a.ca,g,English,Afternoon,Field 5,No,"a,b,c"
a@a.ca,h,French,Afternoon,Field 5,No,"a,b,c"
a@a.ca,i,No preference,Morning,Field 9,Yes,"a,b,c,d"
a@a.ca,j,No preference,Afternoon,Field 5,No,"a,b,c"
a@a.ca,k,No preference,No preference,Field 5,Yes,"a,b"
a@a.ca,l,No preference,No preference,Field 9,No,"b,c,d,e"
a@a.ca,m,English,Morning,Field 5,Yes,"a,b"
a@a.ca,n,French,Morning,Field 5,Yes,"a,b,c,d"
a@a.ca,o,English,Afternoon,Field 5,Yes,e
a@a.ca,p,French,Afternoon,Field 5,Yes,"b,c,e"
